№ п/п;Реестровый №;Наименование юридического лица, которому имущество области передано в пользование;Почтовый адрес;Балансовая стоимость основных средств, тыс. руб.; Остаточная стоимость основных средств, тыс. руб.;Незавершенное строительство (размер затрат), тыс.руб;Материальные запасы, тыс.руб.;
208;3982;Бюджетное учреждение социального обслуживания Кирилловского муниципального района "Топорнинский дом-интернат для престарелых и инвалидов";161104 Кирилловский р-н, м.Топорня, ул.Старый канал, 6;429.88333;85.617399999999989;;;
209;3983;Управление социальной защиты населения Никольского муниципального района;161440 г.Никольск, ул.Советская, 92;1212.80054;611.74176;;;
210;3985;Управление социальной защиты населения администрации Устюженского муниципального района;162840 г.Устюжна, ул.Корелякова, 10;1037.62492;796.22979000000009;;;
211;3986;Управление социальной защиты населения Харовского муниципального района;162250 г.Харовск, пл.Октябрьская, 3;1004.2034200000001;609.1345;;;
212;3987;Управление социальной защиты населения Вытегорского муниципального района;162900 г.Вытегра, Советский пр-кт, 17;7296.2214800000002;7002.2683899999993;;;
213;3988;Управление социальной защиты населения администрации Усть-Кубинского муниципального района;161140 Усть-Кубинский р-н, с.Устье, ул.Новый переулок, 2;3135.3754900000004;1476.59953;;;
214;3989;Управление социальной защиты населения администрации Вожегодского муниципального района;162160 п.Вожега, ул.Садовая, 15;894.74469999999997;543.82794999999999;;;
215;3990;Муниципальное казенное учреждение "Централизованная бухгалтерия по обслуживанию учреждений социальной защиты";162606 г.Череповец, ул.Сталеваров, 54;1208.5076299999998;124.52755000000001;;;
216;3995;Отдел социальной защиты населения Бабушкинского муниципального района;161350 с.им.Бабушкина, ул.Бабушкина, 54;804.53314999999998;521.79182000000003;;;
217;3998;Муниципальное бюджетное учреждение Череповецкого муниципального района "Социальный приют для детей";162649 Череповецкий р-н, Ильинский с/с, д.Музга, ул.Школьная, 11;7131.4929499999998;2600.5605699999996;;;
218;4002;Муниципальное бюджетное учреждение социального обслуживания Вологодского муниципального района "Центр социальной помощи семье и детям "Юнона";160553 Вологодский р-н, п.Федотово, 3;597.40579000000002;100.22192;;;
219;4003;Муниципальное бюджетное образовательное учреждение Вологодского муниципального района для детей-сирот и детей, оставшихся без попечения родителей, детский дом "Радуга";161025 Вологодский р-н, п.Уткино, ул.Новая, 9-а;1684.2710199999999;1071.34394;;;
220;4366;Государственное учреждение "Отдел организации капитального строительства Управления внутренних дел по Вологодской области";160002 г.Вологда, ул.Южакова, 30;232.8;21.7;7896.44;;
221;6001;Бюджетное учреждение культуры и дополнительного профессионального образования Вологодской области "Областной научно-методический центр культуры и повышения квалификации";160000 г.Вологда, ул.Герцена, 37;38585.455240000003;33373.120470000002;;;
222;6003;Бюджетное учреждение здравоохранения Вологодской области "Сокольская центральная районная больница";162130 г.Сокол, ул.Суворова, 21;16377.84;16377.84;;;
223;6004;Бюджетное учреждение здравоохранения Вологодской области "Сямженская центральная районная больница";162220 Сямженский р-н, с.Сямжа, ул.Славянская, 6;1882.5;1882.5;;;
224;6005;Бюджетное учреждение здравоохранения Вологодской области "Никольская центральная районная больница";161440 г.Никольск;5147;5147;;;
225;6006;Бюджетное учреждение здравоохранения Вологодской области "Междуреченская центральная районная больница";161050 Междуреченский р-н, с.Шуйское, ул.Советская, 23-б;4542;4542;;;
226;6007;Бюджетное учреждение здравоохранения Вологодской области "Нюксенская центральная районная больница";161380 г.Нюксеница;942;942;;;
227;6008;Бюджетное учреждение здравоохранения "Кирилловская центральная районная больница";161100 Кирилловский р-н, г.Кириллов, 4;2603.3787000000002;2603.3787000000002;;;
228;6009;Бюджетное учреждение здравоохранения "Устюженская центральная районная больница";162840 Устюженский район, г.Устюжна, ул.Карла Маркса, 53;12469;12469;;;
229;6010;Бюджетное учреждение здравоохранения Вологодской области "Харовская центральная районная больница";162250 Харовский р-н, г.Харовск, ул.Свободы, 28;942;942;;;
230;6011;Бюджетное учреждение здравоохранения Вологодской области "Бабаевская центральная районная больница";162482 г.Бабаево;2959.7;2946.2;;;
231;6012;Бюджетное учреждение здравоохранения Вологодской области "Бабушкинская центральная районная больница";161350 с.им.Бабушкина;10513.3;10504.3;;;
232;6013;Бюджетное учреждение здравоохранения Вологодской области "Белозерская центральная районная больница";161200 г.Белозерск;7899.0787;7885.5787;;;
233;6014;Бюджетное учреждение здравоохранения Вологодской области "Верховажская центральная районная больница";162300 с.Верховажье;2086.3000000000002;2077.3000000000002;;;
234;6015;Бюджетное учреждение здравоохранения Вологодской области "Вожегодская центральная районная больница";162160 п.Вожега, ул.Советская, 14;2857.8;2848.8;;;
235;6016;Бюджетное учреждение здравоохранения "Вологодская центральная районная больница";160014 г.Вологда, ул.Набережная, 137;4745.8;4745.8;;;
236;6017;Бюджетное учреждение здравоохранения Водлогодской области "Грязовецкая центральная районная больница";162000 г.Грязовец, ул.Гражданская, 20;7337.8;7328.8;;;
237;6018;Бюджетное учреждение здравоохранения Вологодской области "Кичменгско-Городецкая центральная районная больница" имени В.И. Коржавина;161401 с.Кичменгский Городок, ул.Заречная, 41;1247.7;1234.2;;;
238;6019;Бюджетное учреждение здравоохранения Вологодской области "Тарногская центральная районная больница";161560 с.Тарногский Городок;2086.3000000000002;2077.3000000000002;;;
239;6020;Бюджетное учреждение здравоохранения Вологодской области "Тотемская центральная районная больница";161300 г.Тотьма;7517.3;7494.8;;;
240;6021;Бюджетное учреждение здравоохранения Вологодской области"Чагодощенская центральная районная больница";162400 Чагодощенский р-н, п.Чагода, ул.Мира, д.31;10997.8;10988.8;;;
241;6022;Бюджетное учреждение здравоохранения Вологодской области "Шекснинская центральная районная больница";162560 п.Шексна;4966.8;4957.8;;;
242;6023;Бюджетное учреждение здравоохранения Вологодской области "Кадуйская центральная районная больница";162510 Кадуйский р-н, п.Кадуй, ул.Надежды, 1;2010.5;2010.5;;;
243;6024;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская больница №2";160024 г.Вологда, ул.Северная, 15;500;500;;;
244;6025;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №4";160028 г.Вологда, Окружное шоссе, 3-в;11219;11219;;;
245;6026;Бюджетное учреждение здравоохранения Вологодской области "Вытегорская центральная районная больница";162900 г.Вытегра, ул.Советская, 16;2526;2526;;;
246;6027;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская больница №1";160012 г.Вологда, Советский пр., 94;12192.806329999999;12192.806329999999;;;
247;6028;Бюджетное учреждение здравоохранения Вологодской области "Усть-Кубинская центральная районная больница";161140 п.Устье, ул.Колхозная, 9;4542;4542;;;
248;6029;Бюджетное учреждение здравоохранения Вологодской области "Медико-санитарная часть "Северсталь";162600 г.Череповец, ул.Металлургов, 18;5341.3329999999996;5341.3329999999996;;;
249;6030;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская больница №2";162611 г.Череповец, ул.Ломоносова, 15;4431;4431;;;
250;6031;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая детская городская больница";162624 г.Череповец, ул.Командарма Белова, 40;2440.0333300000002;2440.0333300000002;;;
251;6032;Бюджетное учреждение здравоохранения Вологодской области "Вашкинская центральная районная больница";161250 Вашкинский р-н, с.Липин Бор, ул.Первомайская, 23;2086.3000000000002;2077.3000000000002;;;
252;6033;Бюджетное учреждение здравоохранения Вологодской области "Вологодская городская поликлиника №3";160025 г.Вологда, ул.Московская, 2-а;11380;11380;;;
253;6034;Бюджетное учреждение здравоохранения Вологодской области "Вологодская детская городская поликлиника №5";160022 г.Вологда, ул.Казакова, 2;248;248;;;
254;6035;Бюджетное учреждение здравоохранения Вологодской области "Вологодский родильный дом №1";160011 г. Вологда, ул.Пирогова, 24;7797;7797;;;
255;6036;Бюджетное учреждение здравоохранения "Череповецкая городская больница №1";162602 г.Череповец, ул.Данилова, 15;20015.75;20015.75;;;
256;6037;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая городская поликлиника №2";162600 г.Череповец, ул.Беляева, 24;2586.826;2586.826;;;
257;6038;Бюджетное учреждение здравоохранения "Великоустюгская центральная районная больница";162390 г.В.Устюг, Советский пр-кт, 30;13437.96434;13415.46434;;;
258;6039;Бюджетное учреждение здравоохранения Вологодской области "Череповецкая центральная районная поликлиника";162600 г.Череповец;4575.8;4566.8;;;
259;3715;ГУ "Управление судебного департамента в Вологодской области";160001 г. Вологда, ул.Мира, 36;21756;18798.039290000001;;;
